Perijove	PJ_Time(UTC)	Time_Before_PJ_at_Radius_12Rj	Time_After_PJ_at_Radius_12Rj	Time_Before_PJ_at_Radius_5Rj	Time_After_PJ_at_Radius_5Rj
PJ01	2016-08-27T12:50:44	2016-08-27T02:04:53	2016-08-27T23:36:41	2016-08-27T09:39:01	2016-08-27T16:02:31
PJ02	2016-10-19T18:10:54	2016-10-19T07:24:59	2016-10-20T04:56:55	2016-10-19T14:59:10	2016-10-19T21:22:41
PJ03	2016-12-11T17:03:41	2016-12-11T06:17:43	2016-12-12T03:49:45	2016-12-11T13:51:58	2016-12-11T20:15:29
PJ04	2017-02-02T12:57:09	2017-02-02T02:11:04	2017-02-02T23:43:22	2017-02-02T09:45:23	2017-02-02T16:09:01
PJ05	2017-03-27T08:51:52	2017-03-26T22:06:37	2017-03-27T19:37:14	2017-03-27T05:40:30	2017-03-27T12:03:20
PJ06	2017-05-19T06:00:47	2017-05-18T19:15:32	2017-05-19T16:46:12	2017-05-19T02:49:25	2017-05-19T09:12:17
PJ07	2017-07-11T01:54:42	2017-07-10T15:09:27	2017-07-11T12:40:08	2017-07-10T22:43:21	2017-07-11T05:06:13
PJ08	2017-09-01T21:48:50	2017-09-01T11:03:36	2017-09-02T08:34:17	2017-09-01T18:37:30	2017-09-02T01:00:21
PJ09	2017-10-24T17:42:31	2017-10-24T06:56:50	2017-10-25T04:28:26	2017-10-24T14:30:58	2017-10-24T20:54:15
PJ10	2017-12-16T17:56:59	2017-12-16T07:11:03	2017-12-17T04:43:08	2017-12-16T14:45:19	2017-12-16T21:08:50
PJ11	2018-02-07T13:51:30	2018-02-07T03:06:17	2018-02-08T00:36:56	2018-02-07T10:40:12	2018-02-07T17:03:00
PJ12	2018-04-01T09:45:43	2018-03-31T23:00:34	2018-04-01T20:31:06	2018-04-01T06:34:26	2018-04-01T12:57:12
PJ13	2018-05-24T05:39:51	2018-05-23T18:54:44	2018-05-24T16:25:11	2018-05-24T02:28:36	2018-05-24T08:51:19
PJ14	2018-07-16T05:17:22	2018-07-15T18:32:26	2018-07-16T16:02:38	2018-07-16T02:06:09	2018-07-16T08:28:49
PJ15	2018-09-07T01:11:41	2018-09-06T14:26:41	2018-09-07T11:56:58	2018-09-06T22:00:29	2018-09-07T04:23:08
PJ16	2018-10-29T21:06:00	2018-10-29T10:21:01	2018-10-30T07:51:17	2018-10-29T17:54:49	2018-10-30T00:17:27
PJ17	2018-12-21T16:59:48	2018-12-21T06:13:25	2018-12-22T03:46:29	2018-12-21T13:47:58	2018-12-21T20:11:55
PJ18	2019-02-12T17:34:31	2019-02-12T06:49:36	2019-02-13T04:19:46	2019-02-12T14:23:23	2019-02-12T20:45:56
PJ19	2019-04-06T12:14:22	2019-04-06T01:27:50	2019-04-06T23:01:15	2019-04-06T09:02:28	2019-04-06T15:26:34
PJ20	2019-05-29T08:08:18	2019-05-28T21:20:01	2019-05-29T18:56:56	2019-05-29T04:55:35	2019-05-29T11:21:19
PJ21	2019-07-21T04:02:43	2019-07-20T17:13:49	2019-07-21T14:51:58	2019-07-21T00:49:42	2019-07-21T07:16:02
PJ22	2019-09-12T03:40:44	2019-09-11T16:51:57	2019-09-12T14:29:56	2019-09-12T00:27:45	2019-09-12T06:54:02
PJ23	2019-11-03T22:18:14	2019-11-03T11:33:26	2019-11-04T09:03:23	2019-11-03T19:07:10	2019-11-04T01:29:37
PJ24	2019-12-26T17:36:13	2019-12-26T06:50:04	2019-12-27T04:22:42	2019-12-26T14:24:30	2019-12-26T20:48:15
PJ25	2020-02-17T17:51:55	2020-02-17T07:06:10	2020-02-18T04:38:04	2020-02-17T14:40:23	2020-02-17T21:03:47
PJ26	2020-04-10T13:47:40	2020-04-10T03:02:59	2020-04-11T00:32:45	2020-04-10T10:36:40	2020-04-10T16:59:01
PJ27	2020-06-02T10:20:03	2020-06-01T23:35:25	2020-06-02T21:05:06	2020-06-02T07:09:04	2020-06-02T13:31:23
PJ28	2020-07-25T06:15:27	2020-07-24T19:30:48	2020-07-25T17:00:29	2020-07-25T03:04:29	2020-07-25T09:26:47
PJ29	2020-09-16T02:10:52	2020-09-15T15:26:16	2020-09-16T12:55:52	2020-09-15T22:59:55	2020-09-16T05:22:11
PJ30	2020-11-08T01:49:42	2020-11-07T15:05:14	2020-11-08T12:34:37	2020-11-07T22:38:47	2020-11-08T05:00:59
PJ31	2020-12-30T21:45:45	2020-12-30T11:01:18	2020-12-31T08:30:37	2020-12-30T18:34:51	2020-12-31T00:57:00
PJ32	2021-02-21T17:40:34	2021-02-21T06:54:59	2021-02-22T04:26:35	2021-02-21T14:29:07	2021-02-21T20:52:24
PJ33	2021-04-15T23:32:25	2021-04-15T12:46:49	2021-04-16T10:18:27	2021-04-15T20:20:56	2021-04-16T02:44:17
PJ34	2021-06-08T07:46:01	2021-06-07T20:57:58	2021-06-08T18:34:32	2021-06-08T04:34:39	2021-06-08T10:57:46
PJ35	2021-07-21T08:15:05	2021-07-20T21:27:22	2021-07-21T19:03:16	2021-07-21T05:03:48	2021-07-21T11:26:46
PJ36	2021-09-02T22:42:52	2021-09-02T11:55:13	2021-09-03T09:30:57	2021-09-02T19:31:36	2021-09-03T01:54:32
PJ37	2021-10-16T17:13:32	2021-10-16T06:26:04	2021-10-17T04:01:29	2021-10-16T14:02:20	2021-10-16T20:25:09
PJ38	2021-11-29T14:13:30	2021-11-29T03:26:02	2021-11-30T01:01:26	2021-11-29T11:02:18	2021-11-29T17:25:06
PJ39	2022-01-12T10:33:02	2022-01-11T23:45:36	2022-01-12T21:20:58	2022-01-12T07:21:52	2022-01-12T13:44:37
PJ40	2022-02-25T01:59:57	2022-02-24T15:12:22	2022-02-25T12:48:02	2022-02-24T22:48:44	2022-02-25T05:11:35
PJ41	2022-04-09T15:49:18	2022-04-09T05:01:53	2022-04-10T02:37:13	2022-04-09T12:38:11	2022-04-09T19:00:50
PJ42	2022-05-23T02:15:54	2022-05-22T15:28:30	2022-05-23T13:03:49	2022-05-22T23:04:48	2022-05-23T05:27:26
PJ43	2022-07-05T09:17:22	2022-07-04T22:29:50	2022-07-05T20:05:23	2022-07-05T06:06:15	2022-07-05T12:28:56
PJ44	2022-08-17T14:45:39	2022-08-17T03:58:01	2022-08-18T01:33:50	2022-08-17T11:34:29	2022-08-17T17:57:17
PJ45	2022-09-29T17:11:56	2022-09-29T06:22:43	2022-09-30T04:02:51	2022-09-29T14:00:17	2022-09-29T20:24:01
PJ46	2022-11-06T21:38:36	2022-11-06T10:48:54	2022-11-07T08:28:51	2022-11-06T18:27:17	2022-11-07T00:50:23
PJ47	2022-12-15T03:23:23	2022-12-14T16:33:40	2022-12-15T14:13:37	2022-12-15T00:12:05	2022-12-15T06:35:07
PJ48	2023-01-22T05:44:19	2023-01-21T18:54:33	2023-01-22T16:34:39	2023-01-22T02:33:00	2023-01-22T08:56:05
PJ49	2023-03-01T05:53:22	2023-02-28T19:03:44	2023-03-01T16:43:29	2023-03-01T02:42:08	2023-03-01T09:05:03
PJ50	2023-04-08T08:13:34	2023-04-07T21:24:01	2023-04-08T19:03:42	2023-04-08T05:02:22	2023-04-08T11:25:14
PJ51	2023-05-16T07:22:45	2023-05-15T20:33:09	2023-05-16T18:12:49	2023-05-16T04:11:34	2023-05-16T10:34:23
PJ52	2023-06-23T06:55:08	2023-06-22T20:05:45	2023-06-23T17:45:05	2023-06-23T03:44:00	2023-06-23T10:06:44
PJ53	2023-07-31T09:05:44	2023-07-30T22:16:18	2023-07-31T19:55:37	2023-07-31T05:54:38	2023-07-31T12:17:18
PJ54	2023-09-07T11:58:02	2023-09-07T01:08:36	2023-09-07T22:48:01	2023-09-07T08:46:53	2023-09-07T15:09:38
PJ55	2023-10-15T10:52:50	2023-10-15T00:02:38	2023-10-15T21:43:26	2023-10-15T07:41:24	2023-10-15T14:04:43
PJ56	2023-11-22T12:17:18	2023-11-22T01:27:01	2023-11-22T23:08:09	2023-11-22T09:05:46	2023-11-22T15:29:19
PJ57	2023-12-30T12:36:21	2023-12-30T01:46:16	2023-12-30T23:27:38	2023-12-30T09:25:07	2023-12-30T15:48:02
PJ58	2024-02-03T21:47:29	2024-02-03T10:55:34	2024-02-04T08:41:49	2024-02-03T18:35:26	2024-02-04T01:00:00
PJ59	2024-03-07T15:42:20	2024-03-07T04:49:54	2024-03-08T02:35:19	2024-03-07T12:30:56	2024-03-07T18:54:12
