Event	Zone	Confidence	Start	End
01S	Dif	2	2016-08-27T13:24:22	2016-08-27T13:31:16
01S	ZI	2	2016-08-27T13:31:16	2016-08-27T13:33:11
01S	ZII	2	2016-08-27T13:33:11	2016-08-27T13:40:00

03N	Dif	3	2016-12-11T16:24:04	2016-12-11T16:29:19
03N	ZI	3	2016-12-11T16:23:23	2016-12-11T16:24:04
03N	ZII	3	2016-12-11T16:20:00	2016-12-11T16:23:23

03S	Dif	3	2016-12-11T17:33:52	2016-12-11T17:37:22
03S	ZI	3	2016-12-11T17:37:22	2016-12-11T17:37:41
03S	ZII	2	2016-12-11T17:37:41	2016-12-11T17:38:29

04S	Dif	3	2017-02-02T13:33:51	2017-02-02T13:38:12
04S	ZI	3	2017-02-02T13:38:12	2017-02-02T13:39:11
04S	ZII	3	2017-02-02T13:39:11	2017-02-02T13:43:28

05N	Dif	2	2017-03-27T08:29:50	2017-03-27T08:32:09
05N	ZI	2	2017-03-27T08:28:59	2017-03-27T08:29:50
05N	ZII	2	2017-03-27T08:25:08	2017-03-27T08:28:59

05S	Dif	2	2017-03-27T09:35:43	2017-03-27T09:42:38
05S	ZI	2	2017-03-27T09:42:38	2017-03-27T09:45:08
05S	ZII	3	2017-03-27T09:45:08	2017-03-27T09:50:19

06S	Dif	3	2017-05-19T06:42:34	2017-05-19T06:52:33
06S	ZI	3	2017-05-19T06:52:33	2017-05-19T06:53:35
06S	ZII	3	2017-05-19T06:53:35	2017-05-19T06:56:43
06S	ZI	3	2017-05-19T06:56:43	2017-05-19T06:57:47
06S	ZII	3	2017-05-19T06:57:47	2017-05-19T07:02:17

07N	Dif	3	2017-07-11T01:15:58	2017-07-11T01:21:22
07N	ZI	3	2017-07-11T01:15:04	2017-07-11T01:15:58
07N	ZII	3	2017-07-11T01:09:51	2017-07-11T01:15:04

07S	Dif	1	2017-07-11T02:26:09	2017-07-11T02:34:08
07S	ZI	1	2017-07-11T02:34:08	2017-07-11T02:34:31
07S	ZII	1	2017-07-11T02:34:31	2017-07-11T02:41:04

09N	Dif	2	2017-10-24T16:36:00	2017-10-24T16:43:42
09N	ZI	2	2017-10-24T16:43:42	2017-10-24T16:45:08
09N	ZII	2	2017-10-24T16:45:08	2017-10-24T16:55:00

09S	Dif	2	2017-10-24T18:24:24	2017-10-24T18:33:07
09S	ZI	2	2017-10-24T18:33:07	2017-10-24T18:35:41
09S	ZII	3	2017-10-24T18:35:41	2017-10-24T18:42:01

10N	Dif	2	2017-12-16T16:41:27	2017-12-16T16:49:20
10N	ZI	2	2017-12-16T16:49:20	2017-12-16T16:53:22
10N	ZII	2	2017-12-16T16:53:22	2017-12-16T16:54:04
10N	ZI	2	2017-12-16T16:54:04	2017-12-16T16:55:18
10N	ZII	2	2017-12-16T16:55:18	2017-12-16T17:02:00

12N	Dif	2	2018-04-01T09:08:24	2018-04-01T09:15:37
12N	ZI	2	2018-04-01T09:08:08	2018-04-01T09:08:24
12N	ZII	2	2018-04-01T09:07:53	2018-04-01T09:08:08
12N	ZI	2	2018-04-01T09:06:22	2018-04-01T09:07:53
12N	ZII	2	2018-04-01T09:04:00	2018-04-01T09:06:22

12S	Dif	3	2018-04-01T10:37:45	2018-04-01T10:47:52
12S	ZI	3	2018-04-01T10:47:52	2018-04-01T10:48:26
12S	ZII	3	2018-04-01T10:48:26	2018-04-01T10:48:56
12S	ZI	3	2018-04-01T10:48:56	2018-04-01T10:49:56
12S	ZII	3	2018-04-01T10:49:56	2018-04-01T10:52:18

21S	Dif	1	2019-07-21T04:47:22	2019-07-21T04:59:43
21S	ZI	1	2019-07-21T04:59:43	2019-07-21T05:00:35
21S	ZII	2	2019-07-21T05:00:35	2019-07-21T05:07:00

23N	Dif	2	2019-11-03T21:45:37	2019-11-03T21:54:31
23N	ZI	2	2019-11-03T21:54:31	2019-11-03T21:55:58
23N	ZII	2	2019-11-03T21:55:58	2019-11-03T22:00:36

23S	Dif	0	2019-11-03T23:21:43	2019-11-03T23:27:24
23S	ZI	0	2019-11-03T23:27:24	2019-11-03T23:28:39

26S	Dif	1	2020-04-10T14:56:18	2020-04-10T15:11:13
26S	ZI	1	2020-04-10T15:11:13	2020-04-10T15:16:01

27S	Dif	1	2020-06-02T11:05:12	2020-06-02T11:12:05
27S	ZI	1	2020-06-02T11:12:05	2020-06-02T11:12:34
27S	ZII	1	2020-06-02T11:12:34	2020-06-02T11:14:23
27S	ZI	1	2020-06-02T11:14:23	2020-06-02T11:16:41
27S	ZII	1	2020-06-02T11:16:41	2020-06-02T11:22:07

29S	Dif	1	2020-09-16T03:19:37	2020-09-16T03:28:57
29S	ZI	1	2020-09-16T03:28:57	2020-09-16T03:31:18
29S	ZII	1	2020-09-16T03:31:18	2020-09-16T03:41:27

31S	Dif	2	2020-12-30T22:54:58	2020-12-30T23:07:44
31S	ZI	2	2020-12-30T23:07:44	2020-12-30T23:11:05
31S	ZII	1	2020-12-30T23:11:05	2020-12-30T23:19:00

32S	Dif	2	2021-02-21T18:31:53	2021-02-21T18:42:33
32S	ZI	2	2021-02-21T18:42:33	2021-02-21T18:51:48
32S	ZII	1	2021-02-21T18:51:48	2021-02-21T18:58:35

33S	Dif	3	2021-04-16T00:23:59	2021-04-16T00:29:25
33S	ZI	3	2021-04-16T00:29:25	2021-04-16T00:34:37
33S	ZII	2	2021-04-16T00:34:37	2021-04-16T00:42:35

34S	Dif	3	2021-06-08T08:36:00	2021-06-08T08:42:04
34S	ZI	3	2021-06-08T08:42:04	2021-06-08T08:44:10
34S	ZII	3	2021-06-08T08:44:10	2021-06-08T08:55:44

35N	Dif	2	2021-07-21T07:21:00	2021-07-21T07:27:20
35N	ZI	2	2021-07-21T07:27:20	2021-07-21T07:28:22
35N	ZII	2	2021-07-21T07:28:22	2021-07-21T07:35:50

36S	Dif	1	2021-09-03T00:01:09	2021-09-03T00:07:10
36S	ZI	1	2021-09-03T00:07:10	2021-09-03T00:11:11
36S	ZII	2	2021-09-03T00:11:11	2021-09-03T00:15:00

37N	Dif	1	2021-10-16T16:10:00	2021-10-16T16:25:28
37N	ZI	1	2021-10-16T16:25:28	2021-10-16T16:26:26
37N	ZII	2	2021-10-16T16:26:26	2021-10-16T16:32:00

37S	Dif	1	2021-10-16T18:13:58	2021-10-16T18:24:18
37S	ZI	1	2021-10-16T18:24:18	2021-10-16T18:28:19
37S	ZII	2	2021-10-16T18:28:19	2021-10-16T18:33:30

38N	Dif	3	2021-11-29T13:25:55	2021-11-29T13:49:34

38S	Dif	2	2021-11-29T15:23:14	2021-11-29T15:36:08
38S	ZI	2	2021-11-29T15:36:08	2021-11-29T15:39:24
38S	ZII	1	2021-11-29T15:39:24	2021-11-29T15:53:27

39S	Dif	2	2022-01-12T11:47:28	2022-01-12T11:58:33
39S	ZI	2	2022-01-12T11:58:33	2022-01-12T12:00:37
39S	ZII	2	2022-01-12T12:00:37	2022-01-12T12:10:00

40N	Dif	2	2022-02-25T01:13:01	2022-02-25T01:24:11
40N	ZI	2	2022-02-25T01:24:11	2022-02-25T01:25:59
40N	ZII	3	2022-02-25T01:25:59	2022-02-25T01:35:12

40S	Dif	3	2022-02-25T02:56:28	2022-02-25T03:03:25
40S	ZI	3	2022-02-25T03:03:25	2022-02-25T03:06:53
40S	ZII	2	2022-02-25T03:06:53	2022-02-25T03:15:00

41Na	Dif	1	2022-04-09T14:51:09	2022-04-09T15:05:57
41Na	ZI	1	2022-04-09T15:05:57	2022-04-09T15:07:49
41Na	ZII	1	2022-04-09T15:07:49	2022-04-09T15:12:11

41Nb	Dif	1	2022-04-09T15:24:36	2022-04-09T15:30:52
41Nb	ZI	1	2022-04-09T15:23:46	2022-04-09T15:24:36
41Nb	ZII	1	2022-04-09T15:15:00	2022-04-09T15:23:46

43N	Dif	2	2022-07-05T08:30:00	2022-07-05T08:36:01
43N	ZI	2	2022-07-05T08:36:01	2022-07-05T08:38:53
43N	ZII	2	2022-07-05T08:38:53	2022-07-05T08:45:00

43S	Dif	2	2022-07-05T10:15:48	2022-07-05T10:21:13
43S	ZI	2	2022-07-05T10:21:13	2022-07-05T10:23:33
43S	ZII	2	2022-07-05T10:23:33	2022-07-05T10:24:43
43S	ZI	2	2022-07-05T10:24:43	2022-07-05T10:28:27
43S	ZII	1	2022-07-05T10:28:27	2022-07-05T10:31:00

44S	Dif	2	2022-08-17T16:05:07	2022-08-17T16:16:37
44S	ZI	2	2022-08-17T16:16:37	2022-08-17T16:17:30
44S	ZII	2	2022-08-17T16:17:30	2022-08-17T16:25:00

45S	Dif	2	2022-09-29T18:19:30	2022-09-29T18:29:55
45S	ZI	2	2022-09-29T18:29:55	2022-09-29T18:31:32
45S	ZII	2	2022-09-29T18:31:32	2022-09-29T18:39:00

46N	Dif	3	2022-11-06T20:42:29	2022-11-06T20:50:23
46N	ZI	3	2022-11-06T20:50:23	2022-11-06T20:51:33
46N	ZII	3	2022-11-06T20:51:33	2022-11-06T20:59:50

